,date,closing,adjusted,evolution,quantity,volume
514,16/11/2020,48.29,36.22,0.6,10.0,482.01
515,13/11/2020,48.0,36.0,3.23,15.0,722.0
516,12/11/2020,46.5,34.88,-3.53,305.0,14191.0
517,11/11/2020,48.2,36.15,-0.1,10.0,482.0
518,10/11/2020,48.25,36.19,-0.08,51.0,2412.37
519,09/11/2020,48.29,36.22,0.86,12.0,579.48
520,05/11/2020,47.88,35.91,4.0,2.0,95.76
521,04/11/2020,46.04,34.53,0.0,57.0,2624.28
522,03/11/2020,46.04,34.53,-3.98,323.0,14939.35
523,02/11/2020,47.95,35.97,0.0,0.0,0.0
524,28/10/2020,47.95,35.97,0.0,0.0,0.0
525,27/10/2020,47.95,35.97,3.97,15.0,709.75
526,26/10/2020,46.12,34.59,-3.92,15.0,696.14
527,23/10/2020,48.0,36.0,0.0,0.0,0.0
528,22/10/2020,48.0,36.0,0.0,3.0,144.0
529,21/10/2020,48.0,36.0,2.08,5.0,240.0
530,20/10/2020,47.02,35.27,0.0,0.0,0.0
531,19/10/2020,47.02,35.27,-1.03,43.0,2021.86
532,16/10/2020,47.51,35.64,1.06,335.0,15920.75
533,15/10/2020,47.01,35.26,-3.05,117.0,5503.74
534,14/10/2020,48.49,36.37,2.08,5.0,242.45
535,13/10/2020,47.5,35.63,0.0,0.0,0.0
536,12/10/2020,47.5,35.63,0.0,0.0,0.0
537,09/10/2020,47.5,35.63,-0.61,5.0,237.5
538,08/10/2020,47.79,35.85,0.0,0.0,0.0
539,07/10/2020,47.79,35.85,2.44,440.0,20453.7
540,06/10/2020,46.65,34.99,-2.0,365.0,16925.2
541,05/10/2020,47.6,35.7,-3.94,30.0,1430.0
542,02/10/2020,49.55,37.17,0.0,0.0,0.0
543,01/10/2020,49.55,37.17,0.0,0.0,0.0
544,30/09/2020,49.55,37.17,1.14,6.0,294.55
545,29/09/2020,48.99,36.75,0.0,0.0,0.0
546,28/09/2020,48.99,36.75,-0.02,37.0,1770.98
547,25/09/2020,49.0,36.75,0.0,0.0,0.0
548,24/09/2020,49.0,36.75,-1.21,5.0,242.0
549,23/09/2020,49.6,37.2,0.0,0.0,0.0
550,22/09/2020,49.6,37.2,3.9,116.0,5338.46
551,21/09/2020,47.74,35.81,-3.94,22.0,1050.28
552,18/09/2020,49.7,37.28,0.0,40.0,1937.0
553,17/09/2020,49.7,37.28,0.0,2.0,99.4
554,16/09/2020,49.7,37.28,0.0,0.0,0.0
555,15/09/2020,49.7,37.28,0.0,18.0,894.6
556,14/09/2020,49.7,37.28,-0.02,20.0,994.0
557,11/09/2020,49.71,37.29,0.0,0.0,0.0
558,10/09/2020,49.71,37.29,0.0,0.0,0.0
559,09/09/2020,49.71,37.29,0.0,0.0,0.0
560,08/09/2020,49.71,37.29,0.0,0.0,0.0
561,07/09/2020,49.71,37.29,0.0,0.0,0.0
562,04/09/2020,49.71,37.29,0.02,2.0,99.42
563,03/09/2020,49.7,37.28,0.0,0.0,0.0
564,02/09/2020,49.7,37.28,-0.02,11.0,545.76
565,01/09/2020,49.71,37.29,0.0,0.0,0.0
566,31/08/2020,49.71,37.29,3.93,20.0,984.8
567,28/08/2020,47.83,35.88,3.98,10.0,478.3
568,27/08/2020,46.0,34.5,-2.6,171.0,7849.5
569,26/08/2020,47.23,35.43,-3.98,50.0,2361.5
570,25/08/2020,49.19,36.9,0.0,0.0,0.0
571,24/08/2020,49.19,36.9,-0.49,2.0,98.38
572,19/08/2020,49.43,37.08,0.0,0.0,0.0
573,18/08/2020,49.43,37.08,0.0,0.0,0.0
574,17/08/2020,49.43,37.08,4.0,81.0,3734.03
575,13/08/2020,47.53,35.65,-3.98,62.0,2946.86
576,12/08/2020,49.5,37.13,0.0,4.0,198.0
577,11/08/2020,49.5,37.13,-0.98,6.0,297.0
578,10/08/2020,49.99,37.5,0.0,0.0,0.0
579,07/08/2020,49.99,37.5,-0.02,112.0,5599.9
580,06/08/2020,50.0,37.5,0.0,0.0,0.0
581,05/08/2020,50.0,37.5,0.0,0.0,0.0
582,04/08/2020,50.0,37.5,0.0,0.0,0.0
583,03/08/2020,50.0,37.5,-1.54,207.0,10350.0
584,29/07/2020,50.78,38.09,-3.99,9.0,459.46
585,28/07/2020,52.89,39.67,0.0,0.0,0.0
586,27/07/2020,52.89,39.67,-0.06,3000.0,158670.0
587,24/07/2020,52.92,39.69,1.79,5.0,264.6
588,23/07/2020,51.99,39.0,3.98,10.0,519.9
589,22/07/2020,50.0,37.5,0.0,490.0,24503.0
590,21/07/2020,50.0,37.5,0.0,0.0,0.0
591,20/07/2020,50.0,37.5,-3.57,765.0,38282.64
592,17/07/2020,51.85,38.89,0.0,0.0,0.0
593,16/07/2020,51.85,38.89,-3.62,4.0,207.4
594,15/07/2020,53.8,40.35,0.0,0.0,0.0
595,14/07/2020,53.8,40.35,0.0,0.0,0.0
596,13/07/2020,53.8,40.35,3.76,10.0,538.0
597,10/07/2020,51.85,38.89,-3.98,303.0,15781.65
598,09/07/2020,54.0,40.5,3.85,371.0,18590.0
599,08/07/2020,52.0,39.0,0.0,0.0,0.0
600,07/07/2020,52.0,39.0,-2.62,6.0,312.0
601,06/07/2020,53.4,40.05,0.0,0.0,0.0
602,03/07/2020,53.4,40.05,2.69,28.0,1432.6
603,02/07/2020,52.0,39.0,-3.61,4891.0,254088.8
604,01/07/2020,53.95,40.47,0.0,0.0,0.0
605,30/06/2020,53.95,40.47,0.0,0.0,0.0
606,29/06/2020,53.95,40.47,0.0,0.0,0.0
607,26/06/2020,53.95,40.47,0.0,0.0,0.0
608,25/06/2020,53.95,40.47,0.0,0.0,0.0
609,24/06/2020,53.95,40.47,0.0,0.0,0.0
610,23/06/2020,53.95,40.47,0.0,1.0,53.95
611,22/06/2020,53.95,40.47,3.75,1.0,53.95
612,19/06/2020,52.0,39.0,-0.19,80.0,4164.0
613,18/06/2020,52.1,39.08,-3.96,1513.0,79577.84
614,17/06/2020,54.25,40.69,-3.98,5.0,271.25
615,16/06/2020,56.5,42.38,0.0,0.0,0.0
616,15/06/2020,56.5,42.38,0.0,0.0,0.0
617,12/06/2020,56.5,42.38,0.0,0.0,0.0
618,11/06/2020,56.5,42.38,3.67,10.0,565.0
619,10/06/2020,54.5,40.88,0.0,97.0,5286.5
620,09/06/2020,54.5,40.88,0.0,0.0,0.0
621,08/06/2020,54.5,40.88,0.0,0.0,0.0
622,05/06/2020,54.5,40.88,0.0,160.0,8720.0
623,04/06/2020,54.5,40.88,-0.91,113.0,6159.5
624,03/06/2020,55.0,41.25,0.18,421.0,23152.03
625,02/06/2020,54.9,41.18,3.74,10.0,549.0
626,01/06/2020,52.92,39.69,3.99,21.0,1111.32
627,29/05/2020,50.89,38.17,2.31,140.0,7069.4
628,28/05/2020,49.74,37.31,0.0,20.0,994.8
629,27/05/2020,49.74,37.31,3.99,183.0,8800.3
630,26/05/2020,47.83,35.88,3.98,27.0,1270.4
631,22/05/2020,46.0,34.5,2.22,200.0,9200.0
632,21/05/2020,45.0,33.75,0.0,0.0,0.0
633,20/05/2020,45.0,33.75,0.0,0.0,0.0
634,19/05/2020,45.0,33.75,-0.44,60.0,2700.0
635,18/05/2020,45.2,33.9,0.0,0.0,0.0
636,15/05/2020,45.2,33.9,-3.81,120.0,5424.0
637,14/05/2020,46.99,35.25,2.4,2.0,93.98
638,13/05/2020,45.89,34.42,1.98,5.0,229.45
639,12/05/2020,45.0,33.75,0.0,0.0,0.0
640,11/05/2020,45.0,33.75,0.0,0.0,0.0
641,08/05/2020,45.0,33.75,0.0,0.0,0.0
642,07/05/2020,45.0,33.75,0.0,0.0,0.0
643,06/05/2020,45.0,33.75,0.0,1098.0,49410.0
644,05/05/2020,45.0,33.75,-2.17,27.0,1214.95
645,04/05/2020,46.0,34.5,0.0,0.0,0.0
646,30/04/2020,46.0,34.5,0.0,0.0,0.0
647,29/04/2020,46.0,34.5,0.0,11.0,506.0
648,28/04/2020,46.0,34.5,0.0,0.0,0.0
649,27/04/2020,46.0,34.5,0.0,0.0,0.0
650,24/04/2020,46.0,34.5,-2.13,11.0,506.0
651,23/04/2020,47.0,35.25,0.0,0.0,0.0
652,22/04/2020,47.0,35.25,0.0,0.0,0.0
653,21/04/2020,47.0,35.25,0.0,0.0,0.0
654,20/04/2020,47.0,35.25,0.0,0.0,0.0
655,17/04/2020,47.0,35.25,-2.06,3.0,141.0
656,16/04/2020,47.99,36.0,-1.86,2.0,95.98
657,15/04/2020,48.9,36.68,0.0,0.0,0.0
658,14/04/2020,48.9,36.68,0.0,0.0,0.0
659,13/04/2020,48.9,36.68,0.0,0.0,0.0
660,10/04/2020,48.9,36.68,2.32,10.0,489.0
661,09/04/2020,47.79,35.85,3.69,1023.0,45386.5
662,08/04/2020,46.09,34.57,-3.98,3.0,138.27
663,07/04/2020,48.0,36.0,0.0,44.0,2029.87
664,06/04/2020,48.0,36.0,-3.88,2102.0,100896.0
665,03/04/2020,49.94,37.46,0.0,0.0,0.0
666,02/04/2020,49.94,37.46,0.0,0.0,0.0
